disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2002-09-17 08:06:00,45.5,249,213,960,978,1.4E+016,9.9,-2.4,198511,445,1.9,0.04,1.82
2002-11-06 06:06:00,83,102,162,485,425,3000000000000000,-5.7,0,182009,565,-0.1,0.04,2.23
2002-11-24 20:30:00,48,360,8,1077,1179,8700000000000000,-5.1,-0.3,85170,441,-4.8,0.034,1.59
2002-12-22 03:30:00,57,272,294,1071,989,5600000000000000,-5.6,3.6,11478,433,-6.4,0.085,2.64
2003-01-30 10:06:00,50,143.5,317,472.5,584.5,1020000000000000,3.7,-1.8,161716,509,-3.3,0.047,3.75
2003-03-18 12:30:00,39,209,266,1601,1531,1.2E+016,-3.4,-0.7,251015,759,-0.8,0.06,2.62
2003-05-28 00:50:00,41,360,292,1366,1527,1.3E+016,4.7,-0.7,343179,704,1.6,0.038,3.91
2003-05-29 01:27:00,38,360,260,1237,1104,3900000000000000,2.4,-1.5,127538,625,0.1,0.046,1.62
2003-06-14 01:54:00,63,195,12,875,1009,4400000000000000,2.3,-5.1,129347,455,-1.4,0.062,1.73
2003-06-14 05:30:00,65,179,109,1215,1159,5300000000000000,-3.6,6.8,48398,496,-1.5,0.038,8.47
2003-06-15 23:54:00,52,360,84,2053,2049,1E+016,-8.1,4.1,46215,534,-1.9,0.032,8
2003-08-14 20:06:00,65,360,25,378,431,1514320517225656,3.2,0.8,173160,543,-4.2,0.04,2.18
2003-10-22 08:30:00,54,267,352,719,1080,1.1E+016,2.4,1.8,39531,584,-3.1,0.04,3.68
2003-10-23 08:54:00,71,236,67,1406,1333,1.2E+016,0.1,6.9,13670,470,-2.8,0.04,1.63
2003-10-23 20:06:00,70,95,111,1136,933,1.1E+016,-1.8,5.7,10793,427,-3.5,0.04,1.46
2003-10-26 17:54:00,31.5,171,235,1537,1561,2E+016,6.9,-7.6,95558,469,-7.1,0.04,0.97
2003-10-28 11:30:00,18,360,15,2459,2229,1514320517225656,7.1,1.6,100292,444,-0.3,0.04,2.49
2003-10-29 20:54:00,19,360,190,2029,1670,1.7E+016,4.4,9.2,100292,444,-0.3,0.04,2.49
2003-11-02 17:30:00,36,360,265,2598,2554,4900000000000000,3.9,-2.4,127153,486,0,0.04,1.32
2003-11-13 09:30:00,43,217,58,1141,1175,1.9E+016,-6.5,0.8,245872,650,1.6,0.04,3.55
2003-11-18 08:50:00,46.5,360,206,1660,1645,2.4E+016,-2.6,2,216899,682,2.3,0.04,2.23
2004-01-20 00:06:00,48.5,360,224,965,1074,1E+016,3.9,1.2,181356,563,1.8,0.04,2.47
2004-01-21 04:54:00,57,360,78,762,667,5600000000000000,2.8,-2.7,93681,492,-0.4,0.04,1.89
2004-04-06 13:31:00,60,360,167,1368,1625,5900000000000000,3.1,0.4,150016,559,-1.1,0.04,1.06
2004-04-08 10:30:00,56,360,197,1068,812,1900000000000000,4,0.4,148623,457,5.6,0.056,1.58
2004-04-11 04:30:00,37,314,237,1645,1340,1.1E+016,3.2,-0.1,138592,422,1.7,0.06,1.07
2004-07-20 13:32:00,44,360,334,710,906,1514320517225656,3.4,-2.8,238508,534,5.1,0.032,0.7
2004-07-22 08:30:00,45,132,210,899,809,730000000000000,-7.6,0.4,293750,475,-2.3,0.029,1.81
2004-07-23 16:06:00,42.5,360,278,824,728,1200000000000000,-6.2,3.8,96368,508,0.2,0.126,1.62
2004-07-29 12:06:00,32,360,245,1180,1468,4100000000000000,3.8,-0.2,64059,487,0.3,0.047,0.47
2004-07-31 05:54:00,19,197,287,1192,1568,1.5E+016,0.6,-3.4,186082,477,5.3,0.034,1.51
2004-08-26 12:30:00,68,119,205,184,295,2000000000000000,0,2.8,208941,443,1.7,0.036,2.1
2004-09-12 00:36:00,42.5,360,132,1328,1484,1.9E+016,5.3,-1.3,61606,278,-9.9,0.054,0.08
2004-09-14 10:12:00,89,360,162,462,387,1800000000000000,1.1,6.8,170738,567,0.2,0.06,6.06
2004-11-03 16:06:00,81,360,90,1068,1116,4200000000000000,0.2,5.1,61695,404,1.9,0.051,5.09
2004-11-04 09:54:00,72,360,32,653,719,1514320517225656,3.6,-1.5,111593,425,3.9,0.058,3.05
2004-11-04 23:30:00,66,293,31,1055,1037,1.4E+016,0.4,3.6,78897,392,0.4,0.037,1.09
2004-11-06 02:06:00,79,214,21,1111,1258,6000000000000000,-3,0.4,22178,350,-0.9,0.044,0.99
2004-11-07 16:54:00,49,360,0,1759,1696,1.4E+016,16,-40.1,126219,673,4.3,0.093,18.89
2004-11-10 02:26:00,38,360,302,3387,3142,9.5E+015,-2.8,-20.1,18639,725,-0.2,0.049,10.39
2004-12-03 00:26:00,54,360,333,1216,1108,8300000000000000,2.4,1.5,56287,428,0.3,0.053,1.56
